Difficulty,Sex
Hard,0
Hard,1
Hard,0
Hard,1
Hard,0
Hard,1
Easy,0
Easy,1
Hard,0
Hard,1
Hard,0
Hard,1
Easy,0
Easy,1
Hard,0
Hard,1
Easy,0
Easy,1
Easy,0
Easy,1
Easy,0
Easy,1
Hard,0
Hard,1
Easy,0
Easy,1
Hard,0
Hard,1
Hard,0
Hard,1
Easy,0
Easy,1
Easy,0
Easy,1
Hard,0
Hard,1
Hard,0
Hard,1
Easy,0
Easy,1
Hard,0
Hard,1
Hard,0
Hard,1
Easy,0
Easy,1
Hard,0
Hard,1
Easy,0
Easy,1
Easy,0
Easy,1
Easy,0
Easy,1
Hard,0
Hard,1
Easy,0
Easy,1
Hard,0
Hard,1
Easy,0
Easy,1
Hard,0
Hard,1
Hard,0
Hard,1
Hard,0
Hard,1
Easy,0
Easy,1
Easy,0
Easy,1
Easy,0
Easy,1
Hard,0
Hard,1
Easy,0
Easy,1
Easy,0
Easy,1
Hard,0
Hard,1
Hard,0
Hard,1
Easy,0
Easy,1
Easy,0
Easy,1
Hard,0
Hard,1
Easy,0
Easy,1
Easy,0
Easy,1
Easy,0
Easy,1
Hard,0
Hard,1
Easy,0
Easy,1
Hard,0
Hard,1
Hard,0
Hard,1
Hard,0
Hard,1
Easy,0
Easy,1
Easy,0
Easy,1
Hard,0
Hard,1
Hard,0
Hard,1
Hard,0
Hard,1
Easy,0
Easy,1
Hard,0
Hard,1
Easy,0
Easy,1
Easy,0
Easy,1
Hard,0
Hard,1
Hard,0
Hard,1
Easy,0
Easy,1
Easy,0
Easy,1
Easy,0
Easy,1
Hard,0
Hard,1
Easy,0
Easy,1
